,Bank_Name,Bank_Type,Location,Bank_Caption,User_Name,Bank_Rating,Rating_Comment,User_Comment
1815,ICICI Bank,Credit Card, kolkata,"""Good to use the card""",BAHALA  ,5.0,Blown,                              I was using the ICICI credit card for last 1 year. I have not paid any kind of interest rate and late fee charges. I'm getting bookmyshow 1+1 free ticket offers and i get some discounts on shopping. I can avail a offer two times in a month for movie tickets. I get the benefit of airport launch access facility. 
1817,RBL Bank,Credit Card, mumbai,"""Excellent Service""", JANGID,5.0,Blown,                              I am using Ratnakar Bank credit card which was taken through Bank.For the past 2 years this card was used by myself. Each and every details about the card was shared by the agent .This card is convenient to use .I am much satisfied with the service so far.
1818,Kotak,Credit Card, mumbai,"""Good Service""",NARESH ,5.0,Blown,"                              I am using Kotak Mahindra Bank credit card which was taken through Bank.For the past 4 months, this card was used by myself. Each and every details about the card was shared by the agent .This card is convenient to use .I am  much satisfied with the service so far."
1819,ICICI Bank,Credit Card, mumbai,"""Satisfactory""",RITA ,5.0,Blown,                              I am using ICICI Bank credit card which was taken through Bank.For the past 4 months this card was used by myself.This was a best card it was a coral card.Each and every details about the card was shared by the agent .This was a best card according to my experience .I am satisfied with the service so far.
1820,review,Other Loan, bangalore,"""Good App""",P R ,5.0,Blown,"                              I have been using the paytm services for last 3 years. I will do the transaction of small payments like recharges, DTH recharges, bus tickets booking, movie ticket booking. I have got some cashbacks too. I have completed the kyc formalities as well. "
1821,IndusInd Bank,Credit Card, kochi,"""Satisfactory""",FIBIN ,4.0,Great,"                              I have Indusind Bank credit card which was taken through Online .I have got this card on delay basis only ,The credit limit was ok .The agent gave all the relevant details about the card process very clearly and this card is useful everywhere.It is a free card and there was  good follow up and response from  bank end.

"
1822,review,Saving Account, bangalore,"""Suitable account for me""",P R,5.0,Blown,                              Taken my savings account from Karur Vysya bank. I opened this account 12 years back and the branch is available nearto my home hence i have chosen this. I am using their online banking facility and its good to use. They are not deducting any hidden charges and i need to maintain a minimum balance of Rs. 3000.
1823,SBI,Saving Account, bangalore,"""Good Account""",KRISHNAN,5.0,Blown,"                              In the year of 2009, opened my savings account. I have selected SBI its because of the good service and i can find the ATM anywhere. I need to hold a minimum balance of Rs. 3000. Its convenient to use their Internet banking facility. They are not taking any kind of additional charges. The branch experience is fine. "
1824,Reliance General,Two Wheeler, bangalore,"""Good to have this policy""",KRISHNAN,5.0,Blown,"                              From Reliance, i have taken my two wheeler insurance and till now i have not contacted the customer care service because i have never applied any claim as of now. They have given me a cheap and best plan. I have paid the premium amount of Rs. 1500 and the coverage amount is Rs. 30000. I renewed the policy through online. "
1825,review,Other Loan, bangalore,"""Simple loan process""",RAMA,5.0,Blown,"                              Based on my SBI credit card, i bought the jumbo loan. They have provided me a interest rate of 16.5% which is nominal for me. I got the loan amount of Rs.1.08 lakhs and i am paying the EMI amount of Rs. 9700 every month. I have chosen the tenure period of 12 months. "
1827,RBL Bank,Credit Card, bangalore,"""Good card for me""",RAMA,5.0,Blown,"                              From RBL, they have provided me a limit of Rs. 70000 and nearly 2 years, I'm using this card. I get some bonus rewards points and they will take the annual fee from my end for that they will provide some cashbacks. Every time i make the online bill payment. I haven't tried the EMI conversion facility."
1828,SBI Cards,Credit Card, bangalore,"""Very Good card for me""",PALANICHAMY  ,5.0,Blown,                              I'm getting rewards points on SBI card and the variant is FBB style up card. Still I'm not interested in trying the balance transfer facility. I hold this card for last 1.5 years and they have given me a limit of Rs. 55000.  There is no issue i have faced on this card.
1829,Bajaj Allianz,Car Insurance, thane,"""Good Policy""",SANTOS,5.0,Blown,                              I don't have any claim experience even the policy is good. There is no hassles till now. I have been paid the premium amount of Rs. 14000 and i have taken this policy long time back. There is no particular reason for choosing the Bajaj Allianz. Its a zero depreciation policy and they have provided me a coverage amount of Rs. 4.50 lakhs.
1831,HSBC Bank,Credit Card, thane,"""Good Card""",LOVEL ,5.0,Blown,"                              HSBC is a good card to use. The call center has a premium number, I will make a call to increase the credit limit. It is a hassle process because we need to provide the salary slip or ITR card copies to increase the same. For more than 3 years, I'm using this card but the limit was increased once. Even though my repayments are on time. Its life time free credit card. I don't interact with the customer care much."
1832,Citibank,Credit Card, thane,"""Overall Good card for shopping""",LOVEL ,5.0,Blown,                              For the rewards points purpose and the offers on the CITI bank is good thats the reason i went for CITI bank credit card. They gave me a credit limit of Rs. 66000 which is not sufficient for me and i don't use my limit fully. They said after some time they will enhance my limit. They have delivered the card as per the promised time. 
1833,review,Other Loan, new,"""Best Service""",KUMAR,5.0,Blown,"                              I am using paytm service for money transfer,utility bill payment ,recharge and shopping .There are cash back offers as well as reward points .There is no need to travel anywhere can use this service whenever required .It is very comfortable to use and each and every transaction will be done very faster."
1834,IndusInd Bank,Credit Card, new,"""Average Service""",SHYAM  ,5.0,Blown,"                              There was no option for converting  EMI  on this Indusind Bank credit card .The credit limit was very less upto 75000,If have more limit then it will be good .There are no cash back offers and reward points .I am using this credit card so far .All the required details was shared by the agent .
"
1835,Citibank,Credit Card, bangalore,"""Good Service""", VEENA,5.0,Blown,"                              I am using Citi reward card which was taken through Online .I am satisfied with the credit limit it will be very much comfortable if enhance the credit limit .I have got the credit card on time and there are cash back offers as well as reward points as well .While submitting the documents the process was smooth .
"
1836,LIC,Life Insurance, noida,"""Average Service""",A,3.0,Satisfactory,                              I have taken Life Insurance policy directly through LIC agent .Each and every update about the policy features was clearly explained by the agent.I have taken money back policy it is for the tenure of 20 years I am paying the premium on quarterly basis .This policy is still active and i am paying the premium through online .
1857,IndusInd Bank,Credit Card, mumbai,"""Not satisfied""",RITA,1.0,Bad,"                              I have Indusind Bank credit card which was taken through Online .Correct information was not provided by the agent that was the difficulty faced by me .I am satisfied with the credit limit ,This card is a chargeable one and there was proper callback and follow up as well ."
1858,review,Other Loan, hyderabad,"""Excellent Service""",PILLI  ,5.0,Blown,"                              I am using paytm service for the past 2 years . I am using this service frequently so far.Mostly using it for recharge,utility bill payment ,shopping and money transfer.There are cash back offers as well but not much .I have not undergone any technical issues .I am satisfied with the service so far."
1859,IndusInd Bank,Credit Card, hyderabad,"""Satisfactory""",PILLI  ,4.0,Great,"                              I am using Indusind  Bank credit card which was taken through Online .Each and everything was good on this card ,This card is a free one .The credit limit was sufficient as well,The agent gave all the relevant details about the card process through the agent.I am completely satisfied with the card ."
1860,review,Other Loan, mumbai,"""Good Service""",ANONYMS,5.0,Blown,"                              Paytm service is fine. Sometimes only i do the transaction. I will do the bill payments like post paid bills, electricity bills, DTH recharges, bus ticket booking, movie ticket booking. I have received 20 to 25% cashback offers. I have done the kyc formality as well."
1861,review,Saving Account, mumbai,"""Good Account""",  TAWARE,5.0,Blown,"                              For Last 7 years, i am holding the salary account from Union Bank of India. Its a zero balance maintenance account. They are providing good service to the customers. I have not experienced of their net banking facility and its easy to use their mobile app. "
1862,IndusInd Bank,Credit Card, pune,"""Good Service""",UTTAM,5.0,Blown,"                              I am having Indusind Bank credit card which was availed through Online. On using this card i have not faced any issues. Each and every situation, this card is very useful.I have selected this card since got online offer. I am satisfied with the credit limit.This was a free card for life time."
1863,review,Consumer Durable, mumbai,"""Good Process""",  TAWARE,5.0,Blown,                              I get very quick service for consumer durable loan. There is no interest rate and Bajaj Finserv is given easy EMI offer. I purchased the air- conditioner 7 months before. I have selected the tenure period of 20 months. I am paying the EMI amount of Rs. 2500 on every month. 
1864,HDFC Bank,Credit Card, mumbai,"""Good card""",ANKIT  ,5.0,Blown,                              Its been 6 months since i'm using HDFC credit card. I am having a money back card hence i get the cashback offer and rewards points which is really good. They have offered me a credit limit of Rs. 67000. Its a life time free credit card. I make the payment on time. 
1865,Citibank,Credit Card, mumbai,"""Service is good""",ANKIT  ,5.0,Blown,                              The service is good in CITI bank. They have offered me a credit limit of Rs. 60000. They charged me an annual fee of Rs. 499. The benefits are good and i  get cashback as well. I purchased the card before 1.5 months . I got the card without any delay. 
1866,review,Other Loan, kolkata,"""Best Service""", SANKAR ,5.0,Blown,                              I am using paytm service for the past 3 years .I am using this service mostly for recharge only .This service is well known to each and everyone now a days .Each and every transaction will be done very safe and secure.There are cash back offers and not yet faced any technical issues .
1867,IndusInd Bank,Credit Card, kolkata,"""Good Service""",BOM ,5.0,Blown,"                              I am using Indusind Bank credit card which was taken through Online .I have not faced any difficulties so far ,The credit limit was good and i have not faced any difficulties so far on using this card .There is no special benefit  ,I am using this credit card for the past 2 months.
"
1868,Axis Bank,Saving Account, chennai,"""Be true""",RAJU,4.0,Great,"                              More than 5 years, i have been using the salary account from Axis bank. Card quality which they have given is not good because it doesn't read in most of the POS machines but when i replace the card, they charged from my end but they didn't inform me when i contacted the customer care they were not ready to provide me a proper response and the language is not upto the mark. "
1869,HDFC Bank,Credit Card, chennai,"""Try to  reducing the interest rates""", RAJU,4.0,Great,"                              They have provided me a credit limit of Rs. 1.20 lakhs and more than 5 years, i'm holding the HDFC credit card  and the card variant is Regalia Card. Everywhere i get the points . Comparing to other cards, good in redeeming the rewards points. "
1870,Axis Bank,Credit Card, chennai,"""Be transparent to  customer""",PRABHU  ,4.0,Great,"                              I have a neo card from Axis bank and i get a quite few rewards points and its available in most of the transaction whether its buying a clothes, petrol. Axis bank is good for offers in all the places. They have increased my credit limit as well. Initially the limit was Rs. 80000 within 6 months they have increased upto Rs. 1.75 lakhs. Some hidden charges are there. "
1871,IndusInd Bank,Credit Card, chennai,"""Keep improving""",PRABHU  ,4.0,Great,                              The one good reason for choosing Indusind card is its life time free credit card and they haven't take too much of time to provide the card and the documentation process was smooth. I haven't used it more and i have just done only one transaction. It was Rs. 1 lakh given to me as  a limit but that could have improved.
1872,IndusInd Bank,Personal Loan, faridabad,"""Average Service""", KUMAR ,1.0,Bad,                              I have applied for Home credit India private limited personal loan through online .The rate of interest was very high since requirement was there taken this loan .I have got the loan amount  sanctioned on time .If EMI is paid on  delay basis charges will be applicable.
1873,review,Saving Account, kolkata,"""Good Account""",ANONYMS,5.0,Blown,"                              Its been almost 6 years, i hold the savings account and i have selected the HSBC because it was initially my salary account after that i have converted to into savings account. There is no minimum balance required. I have visited their branch to convert into savings account. The branch experience is good. "
1874,review,Other Loan, faridabad,"""Average Service""",RAJESH  ,1.0,Bad,"                              I am using this paytm service frequently for groceries and recharge as well,There are no cash back offers and if transfer any money the charges are very high.Now a days this service is well known to everyone .I have not faced any difficulties so far on using this service .
"
1875,IndusInd Bank,Credit Card, faridabad,"""Good Service""",RAJESH ,4.0,Great,"                              I have Indusind Bank credit card which was taken through Online.I have got this card delivered on time ,The credit limit was very less and it was up to75,000  but my expectation was more than this .The agent told will be receiving 3 lakhs credit limit .I was not getting cash back offers and reward points so far. "
1876,review,Saving Account, kolkata,"""Good Account""",R A ,5.0,Blown,                              I have been using Standard Chartered bank salary account for around 6 to 7 years. Its a zero balance account. I have never faced any issue. Its good to use their Internet banking facility. I never visited their branch. I'm not seen any kind hidden charges.
1877,LIC,Life Insurance, kolkata,"""Aam Aathmi policy""",R A ,5.0,Blown,                              Initially my father used to purchase the policy from LIC so i have been continuing with the same policy. My first policy was taken almost 10 years ago.  I have been paying the premium amount of Rs. 20000 on a yearly basis. Its a 20 years term period policy.
1878,Standard Chartered Bank,Credit Card, kolkata,"""Standard Credit Card""",AGARWAL,4.0,Great,"                              Its life time free card and there is no much offers on the standard chartered bank credit card. Based on my salary account, they have provided this card. They are sending any kind of notification as well. Its almost 7 years, i am having this card. "
1879,HSBC Bank,Credit Card, kolkata,"""Value for customer""",  AGARWAL,4.0,Great,                              I get a free movie tickets on this HSBC card and there are lots of offers in restaurants since they have a good tie up. My petrol sur charges will get waived off. HSBC is a good card to use. I have been using this credit card for almost 5 to 6 years. Its a life time free credit card. 
1880,American Express,Credit Card, kolkata,"""Worth Card""",ROYAL  ,4.0,Great,"                              I have a platinum rewards card in Amex. If i do 4 purchase worth of Rs. 1000 i get bonus points in a month. There will be an annual fee, if i do a certain purchase it will get waived off. There is no airport launch access facility.  I've got the limit of Rs. 70K on my card."
1881,review,Other Loan, thane,"""The service is quite good. """, LAWANDE,5.0,Blown,"                              I have been using the paytm services for more than 5 years and i do the various transaction like utility payments, recharges but i have not tried the fund transfer facility. I have loaded the money in wallet. I did not track about the cashback offers. I'm not connected with the call center. Its a one platform for everyone. "
1882,Kotak,Saving Account, thane,"""NOT GOOD""",LAWANDE,3.0,Satisfactory,                              In my previous organization they have given me a salary account with Kotak and now it has been converted into savings account. The good thing about the account is there is no need to keep any minimum balance. I have experienced of their net banking and mobile app which is quite good.
1883,Kotak,Credit Card, thane,"""Pathetic services""",SWAPNIL,1.0,Bad,                              Even the payment history was good and they were reduced my credit limit earlier they had given me a limit of Rs. 25000 after that they have reduced upto Rs. 5000. Finally Kotak mahindra bank asked me to settle all the dues and asked me to close the credit card hence the service is pathetic. 
1884,Citibank,Credit Card, thane,"""Best benefits as of now """,SWAPNIL ,5.0,Blown,"                              According to my salary, Citi Bank is giving good credit limit. I'm getting a good cashback offers and discounts. The given credit limit is quite good and its 2* of my salary. Annual fee is there and it will deducted based on my usage.  The executive came to my office and took my documents."
1885,IndusInd Bank,Credit Card, kolkata,"""Not appropriate card""",ROYAL  ,1.0,Bad,"                              I'm not satisfied with Indusind bank credit card because whatever the offers they have offered me at the time of purchase, it was not met. I have called the customer care department they said its because of some issue and the representative is not that much prompt to provide the information and response wise. So, i have cancelled the card already."
1886,Citibank,Credit Card, bangalore,"""Excellent Service""",MURALI,5.0,Blown,"                              I have Citi Bank credit card which i am using for my needs.This was a life time free card ,There are lots of reward points ,This card is having a very good credit limit and it is pretty sufficient ,I am having reward card  which is very useful everywhere .I am satisfied with the service ."
1887,HDFC Bank,Credit Card, bangalore,"""Excellent Service""", MURALI,5.0,Blown,"                              I have HDFC Bank credit card which was taken through  Bank only.I am using this credit card for the past 4 to 5 years ,This was a life time free card ,I am getting frequently message alert for limit up gradation .This card is very comfortable on using and no difficulties on the usage .
"
1890,IndusInd Bank,Credit Card, bangalore,"""Good Service""",RAKSHITH  ,3.5,Pretty,"                              I have Indusind Bank credit card which was taken through Online .The credit limit was sufficient and taken this card since have book my show offers but once got the card this offer was stopped which am unhappy .This was a free card and got the credit card on delay basis. I am satisfied with the usage so far.
"
1891,review,Other Loan, chandigarh,"""Best Service""", PAL SINGH,3.0,Satisfactory,                              I am using Paytm service which i am using for the past 3 years .I am using this service for only recharge and not for any usage .This service is very convenient to use and can do the transaction very quickly .I like this service since it is very good to use .I am satisfied with the service so far .
1892,Citibank,Credit Card, chandigarh,"""Excellent  service""",RUPINDER ,5.0,Blown,"                              I have Citi bank credit card which was taken through Online .Everything was good on this credit card and the credit limit was very less and it was upto 80,000,This was a chargeable card and the agent gave all the relevant details about the card process,There are very useful reward points as well as cash back offers."
1893,review,Other Loan, navi,"""Better Loan""",AMIN ,3.5,Pretty,"                              Chosen my Flexi loan from Bajaj Finserv. Its because of the quick process, i have taken this loan for my friend. Till now i am making the payment on time. I bought the loan amount of Rs. 4.5 lakhs in that 1.5 lakhs yet to pay. I have chosen the tenure period of 5 years. For first 2 years, they will charge only interest rate. "
1895,ICICI Bank,Personal Loan, navi,"""Better Loan Service""",ASUDULLA,4.0,Great,"                              I have an account in ICICI bank and it will be better if i taken the personal loan from them. I got the loan amount of Rs. 50,000 and they have offered interest rate is 14% and i have chosen the tenure period of 6 months and i have already closed the loan."
1896,ICICI Bank,Credit Card, navi,"""Better card""",SAYED ,4.0,Great,"                              Since 10 years, I'm managing ICICI bank credit card and if i make the payment on time. There is no issue and i pay all my dues on a regular basis. There is no harassment from ICICI side . I'm getting rewards points on all my purchases. The given limit is fine for me."
1897,Citibank,Credit Card, hyderabad,"""Good card""",BALA,5.0,Blown,"                              I have contacted CITI BANK customer support and confirmed with no processing fee for EMI conversion in credit card but Rs.200 is applied as a processing fee for converting EMI. Limit is not sufficient it is only Rs.60,000 need enhancement upto Rs.1,00,000. I get more reward points on shopping and cash back on fuel. 
"
1898,SBI Cards,Credit Card, kolkata,"""Good Card""", RANJAN PANDA,5.0,Blown,"                              For past 4 years, i have been using the SBI credit card. Its a simply save card and they are charging me a annual fee of Rs. 499. I have got the credit limit of Rs. 80000 but they haven't increased credit limit till now. I have never tried the balance transfer facility."
1899,ICICI Bank,Credit Card, kolkata,"""Good one""",MANAS ,5.0,Blown,                              I am having a ICICI salary account thats the reason i have chosen the credit card from ICICI. I am getting so many benefits on this card but i have never availed it. I always use the card for my own purchase and i make the payment on every time. They have provided me a credit limit of Rs. 70000 which is fine for me. 
1900,review,Other Loan, hyderabad,"""Average Service""",REDDY,1.0,Bad,"                              I am using paytm service for the past 4 to 5 years once it was launched from that started using .I am mostly using for online shopping ,recharge ,travel ticket booking and movie ticket booking .For money transfer usage is very less and there was no cash back offers ,The service was quite average according to me.
"
1902,Citibank,Credit Card, hyderabad,"""Good Service""",ANIL  ,4.0,Great,"                              I am using Citi Bank credit card which was taken through Online .If make the payment  once due date is over and  crossed 2 days then charges will be applicable it is Rs.1000.I have got the credit card on time without any delay .The credit limit was average according to me.
"
1903,LIC,Life Insurance, mumbai,"""Excellent policy""",HANUMANTHA,5.0,Blown,"                              5 years back, i have purchased the life insurance policy from LIC. My family people are taking care of the policy hence I'm not aware of the details. From past many years, LIC is connected with my family so i have taken from them. I make the payment through online."
1904,SBI Cards,Credit Card, new,"""User Friendly""",ALANKAR,5.0,Blown,                              I have State Bank Of India credit card which was taken through Online.This card is a chargeable one and each and every information about this card was clearly explained by the agent .The credit limit was very less it was not sufficient according to me  and i have not used the card much without delay.
1905,review,Consumer Durable, mumbai,"""Good Loan Services""",RAM ,5.0,Blown,"                              My daughter has recommended me about the consumer durable loan from Bajaj Finserv. I have purchased the television, refrigerator, water purifier and i have made the down payment for the first time. I have finished off all the loan service."
1906,RBL Bank,Credit Card, mumbai,"""Excellent Card""",RAM ,4.0,Great,                              I have a friend who is working in RBL bank so he has given the card and this is my first credit card. I'm getting the normal benefits which every card have. They gave me a credit limit of Rs. 1 lakh. The annual fee is nil and i have not faced any issue on this card.
1907,American Express,Credit Card, new,"""Excellent Service""",ABHISHEK  ,5.0,Blown,"                              I am having American Express Banking Corporation credit card which was taken direclty .I am using this credit card for the past 3 to 4 months .The credit limit was fine according to me,I have got the features of the credit card through the agent .I am satisfied with the usage so far ."
1908,Citibank,Credit Card, ahmedabad,"""Beneficiary card""",ANONYMOUS,5.0,Blown,"                              I have chosen CITI BANK credit card because of rewards points. I get points on all purchase. Instant discount on online purchase and due payments as well. Limit provided is sufficient. Emi conversion options are available. I received the card with in 10 days.  
"
1910,HDFC Bank,Credit Card, pune,"""Good service""",AJITH,4.0,Great,                              I am using HDFC BANK credit card for more than 2 year. I get more cash back on Fuel. Rewards points can be converted into cash and  I have converted more than twice. Minimum rewards points is 1200 of conversion. According to the usage I get reward points. I get instant discount on e.com websites. 
1911,Citibank,Credit Card, pune,"""Average services need improvement. """,AJITH KUMAR,4.0,Great,"                              I am using CITI BANK credit card. If I purchase beyond  90% of my total limit, over limit charges are applied it is not acceptable. Credit limit provided is not sufficient only Rs.50,000 which is expected around Rs.1,00,000. I mostly use this card for shopping. 
"
1912,review,Other Loan, bangalore,"""Best Service""", BHAT,4.0,Great,"                              I am using paytm service for the past 2 to 3 years .I am using this service very frequently for shopping ,groceries ,for all daily transaction  and for utility bill payment.I am getting cash back offers and there was no drawbacks faced so far .I am comfortable with the service so far ."
1913,Citibank,Credit Card, bangalore,"""Good service""",P,4.0,Great,"                               I am using  CITI BANK credit card, it is a life time free card. Credit limit provided is very low. Processing of the card took 20 days, I am not aware of the cash back and reward points. EMI conversion options are available. Notifications and remainders are sent on time. "
1915,IndusInd Bank,Credit Card, bangalore,"""Good service""",PRAKASH,5.0,Blown,"                              I applied for INDUSIND BANK credit card online and received the card within a month which is too long. Credit limit provided from bank is only 2 lakhs which is not sufficient, I expected around 3 to 4 lakhs. EMI conversion options are available and it is a life time free card. 
"
1916,SBI Cards,Credit Card, bangalore,"""Best Service""",NEMMAR  ,4.0,Great,"                              I am using State Bank Of India credit card which was taken through the agent.I am using this credit card for the past 6 months only.I am really satisfied with the credit limit it was uptpo1,30,000 ,This was a free card and accessibility of payment will be very easy ,All the details about the card process was clearly shared by the agent."
1918,SBI,Car Loan, chennai,"""Good Service""",UTTAM ,4.0,Great,"                              I have state Bank Of India car loan,the rate of interest was very nominal .I have got the loan amount sanctioned on time without any delay .Each and every details was clearly shared by the agent .I have submitted the required documents and i am comfortable with the service."
1919,IndusInd Bank,Credit Card, chennai,"""Service is Good """,UTTAM,4.0,Great,"                              I am using Indusind Bank credit card which was taken through Online.It is very difficult to make payment of this card since app is much complicated .The credit limit was good and it was upto 50,000 and this was a free card .While submitting the documents there was no difficulties ."
1920,IndusInd Bank,Credit Card, jaipur,"""Excellent card""",PRADEEP,5.0,Blown,"                              I applied for INDUSIND BANK credit card online and received it with in 10 to 15 days. Limit is not sufficient want to enhance it. Bank executive provided me a clear information regarding the benefits of the card. I h ave submitted documents to bank executive. 
"
1921,IndusInd Bank,Credit Card, jaipur,"""Good service""",SANJEEV,5.0,Blown,"                              I am having Indusind Bank credit card which was taken through Online.The credit limit was really good ,I have not checked cash back offers as well as reward points ,I have not used this card and the agent gave all the information about the card process .There was proper callback and follow up from bank end .
"
1923,Citibank,Credit Card, bangalore,"""Good card to start with""",NITHIN   ,4.0,Great,                              I wanted to have an credit card which gives me a good rewards points but in the market only few cards available so i have chosen CITI rewards card. The limit is very low thats the only issue i face with this card. The annual fee is Rs. 1000 and its get waived off if i use limit of Rs. 30000. I can do a transaction of Rs. 80000 per year. I would say that rewards point provided not so great because they are giving more points on apparels.
1924,HDFC Bank,Car Loan, gurgaon,"""Good Service""",AGARWAL,5.0,Blown,                              I have taken car loan directly through HDFC Bank .The rate of interest and the processing fee was nominal .Each and every details about this loan was clearly shared by the agent.I have got the loan amount on time without any hassle .This was a paperless approval and i am comfortable with the service so far.
1925,HDFC Bank,Personal Loan, gurgaon,"""Good Service""",AGARWAL,5.0,Blown,                              I have taken personal loan directly through HDFC  Bank .The rate of interest and the processing fee was nominal .Each and every details about this loan was clearly explained by the agent.I have got the loan amount on time without any delay .This was a paperless approval and i am satisfied with the service so far.
1926,review,Other Loan, gurgaon,"""Average Service""",VIKAS  ,3.0,Satisfactory,"                              I am using paytm service for the past 3to 4 years .I have used mostly for merchant account .Previously used for regular expenses but now it is used only for commercial purpose. Am not yet faced  any network issues, according to me the service was  quite average ."
1927,IndusInd Bank,Credit Card, gurgaon,"""User Friendly""",VIKAS  ,4.0,Great,"                              I am using Indusind Bank credit card which was taken through Online .I have got the credit card on time ,The agent shared all the features and benefits of the card very clearly .This was a free card and there was no difficulties faced so far.App is really good to make payment as well as this card is very useful on all situations .The agent shared all the information about the card process.I am satisfied with the service so far .
"
1928,review,Other Loan, thane,"""Good Service""", ASHANI,4.0,Great,"                              I am using Paytm service for the past 1 year only.I am mostly using for utility bill payment .I am mostly getting cash back offers on using this service ,Now a days everyone knows about this service .It  is very convenient to use and no need to visit anywhere can make the payment whenever required."
1929,Axis Bank,Credit Card, kolkata,"""Better Card""",SANDEEP  KUMAR,5.0,Blown,"                              From Axis bank credit card, they are providing 5% cashback on myntra and flipkart online website and 4% cashback on preferred partner. 1.5% cashback on each and every purchase. Its a Flipkart variant card. No cost EMI facility is available"
1930,IndusInd Bank,Credit Card, kolkata,"""Overall Good""",SANDEEP  KUMAR,4.0,Great,                              One big reason for choosing Indusind bank credit card is there is no joining fee and they have not charged me any annual fee also. I got the credit limit of Rs. 50000. I have not spoken with the customer care. I have received my card without any delay.
1931,RBL Bank,Credit Card, thane,"""Good Service""",MANISH,4.0,Great,                              I have Ratnakar Bank credit card which was taken through Bank.I am using this credit card for the past 2 years .I am satisfied with the credit limit .The agent gave all the required details about the card process very clearly .The process was very smooth and i am really satisfied with the service .
1932,SBI Cards,Credit Card, thane,"""Good Service""",MANISH ,4.0,Great,"                              I am using State Bank Of India credit card which was taken through Bank directly .This was an  Elite card which is pretty useful and also a free card ,Each and every detail was clearly shared by the agent .There are good reward points as well as cash back offers .I am satisfied with the service so far.
"
1933,RBL Bank,Credit Card, gurgaon,"""Good Service""", VISHWAKARMA,5.0,Blown,"                              I have Ratnakar Bank credit card which was taken through Bank .I am using this card for the past 1.5 years and this was a chargeable card .I have got all the relevant details about the card process,The credit limit was satisfied and the service was good as well.I am satisfied with the service so far ."
1934,IndusInd Bank,Credit Card, chennai,"""Good card""",NANDAKUMARAN,4.0,Great,                              I got the credit card offer from various bank in that i have chosen the Indusind bank its because of the best offers. They have a very good app and repayment is easy to do. Last 2 months only I'm using the card. They have not given any offer till now. 
1935,Axis Bank,Credit Card, gurgaon,"""Good Service""",KUMAR ,5.0,Blown,"                              I am using Axis Bank credit card which was taken through Bank directly and its been more than 2 years. I  will be getting jumbo loan offers through this card but i have declined .I have got a clear picture about the card process through the agent .I am satisfied with the service so far.
"
1936,SBI Cards,Credit Card, new,"""Good service""",S,3.0,Satisfactory,"                              I am using SBI card for more than 5 years. Reward points can be converted into vouchers, annual fee is Rs.500. EMI conversion option are available and charges are very high. Customer support response is good. mobile application is user friendly. "
1937,SBI Cards,Credit Card, gurgaon,"""Good Service""",ANOOP ,5.0,Blown,"                              I am using State Bank Of India credit card which was taken through Online .I am using IRCTC credit card for the past 2 years only.It is very useful as well as comfortable to use ,Can use for travel ticket bookings and also there are good reward points ,I am satisfied with overall service ."
1938,IndusInd Bank,Credit Card, new,"""Good service""",SIMTA,5.0,Blown,"                              I applied for INDUSIND BANK credit card via online and submitted the documents to bank executive then received the card with in 10 working days. Credit limit provided from the bank is not sufficient its only Rs.1,00,000, I expected around 3 lakhs. I use this card mostly for online shopping, "
1939,IndusInd Bank,Credit Card, gurgaon,"""Very Good Service""",ANOOP,5.0,Blown,                              I am using Indusind Bank credit card which was taken through Online .EMI option is not displayed on App that was the difficulty which I have faced.The credit limit was upto1 lakh it was really sufficient and there was no difficulties faced as well.This was a free card and the agent gave all the details about the process very clearly.
1940,IndusInd Bank,Credit Card, hyderabad,"""Good service""",JAGA,5.0,Blown,"                              I applied for the INDUSIND BANK credit card via online, processed with in few days and received the card but it is blocked. I contacted the bank and they asked me some documents, which I have  submitted. Further no update from the bank regarding the process.
"
1941,ICICI Bank,Credit Card, ahmedabad,"""Good Card""",KRUNAL  ,4.0,Great,"                              ICICI card is a great card to use. Process was very easy. Actually I'm using the ICICI credit for past 1 year. I got the limit of Rs. 75000 and its a zero annual fee card. From online, i make the payment. They are sending the offer messages on a regular basis."
1942,SBI Cards,Credit Card, hyderabad,"""Very good service""",JAGADEESH,5.0,Blown,"                              I am using this SBI credit card for past 5 months. Rewards points are very good. Using mobile application I can redeem the rewards points. Credit limit is Rs.40,000 which is not sufficient, I accepted around 1 lakhs. I contacted customer support regarding limit enhancement, It would be done after 6 months. 
"
1944,SBI Cards,Credit Card, navi,"""Best card for premium customer """,KUMAR,5.0,Blown,"                              I have a premium card with SBI for past 5 years, annual charges are Rs.5600. Best benefit is rewards points, always I have instant discounts on Amazon and flip kart,  I get 8 domestic lounge access and 6 international lounge access free,  If I spend 8 lakhs in a year , annual fee would be waived off and also I get rewards points worth of Rs.7000. Every month getting Rs.500 book my show voucher . Many features are available, forex charge is around 1.99%+ gst . Customer support is good in day time. I will get call back within 48 hours, if I raise a request.  But in emergency services are not good.
"
1945,IndusInd Bank,Credit Card, navi,"""best suit card for normal customer. """,M K,5.0,Blown,"                              It is a life time free card. I get more instant discount and cash back on online website during festive season in INDUSIND credit card, Limit provided is sufficient and not faced any issue till now. Customer support response is good. Forex charges are high. It can be converted into 3 EMI which 0% interest rate. 
"
